country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Portugal,LigaPro 2019/2020,Feirense - Academica,"Saturday, 29 Feb 2020, 17:15",1:0,Marathonbet,1.93,1.86,3.28,3.28,3.95,4.3
Portugal,LigaPro 2019/2020,Feirense - Academica,"Saturday, 29 Feb 2020, 17:15",1:0,Pinnacle,2.12,1.92,3.27,3.35,3.73,4.49
Japan,J-League 2012,Kashiwa - Vegalta Sendai,"Saturday, 14 Apr 2012, 05:00",2:3,Pinnacle,2.17,2.43,3.49,3.45,3.55,3.09
Argentina,Primera Division 2015,Newells Old Boys - Velez Sarsfield,"Tuesday, 03 Mar 2015, 00:10",0:0,Marathonbet,2.65,2.3,3.2,3.1,2.88,3.6
Argentina,Primera Division 2015,Newells Old Boys - Velez Sarsfield,"Tuesday, 03 Mar 2015, 00:10",0:0,Pinnacle,2.48,2.28,3.05,3.2,3.34,3.64
Czech Republic,Gambrinus liga 2013/2014,Slavia Prague - Mlada Boleslav,"Saturday, 14 Sep 2013, 19:15",0:4,Marathonbet,2.6,2.63,3.3,3.3,2.92,2.88
Czech Republic,Gambrinus liga 2013/2014,Slavia Prague - Mlada Boleslav,"Saturday, 14 Sep 2013, 19:15",0:4,Pinnacle,2.59,2.33,3.43,3.47,2.84,3.24
Sweden,Superettan 2014,Hammarby - Ostersunds,"Tuesday, 21 Oct 2014, 18:20",4:2,Marathonbet,1.37,1.31,5.0,6.1,10.5,10.0
Sweden,Superettan 2014,Hammarby - Ostersunds,"Tuesday, 21 Oct 2014, 18:20",4:2,Pinnacle,1.4,1.35,5.15,5.45,8.56,10.09
Serbia,Super Liga 2017/2018,FK Crvena zvezda - Borac 1926,"Sunday, 10 Dec 2017, 15:30",3:0,Asianodds,1.04,1.13,16.65,9.1,46.25,23.58
Serbia,Super Liga 2017/2018,FK Crvena zvezda - Borac 1926,"Sunday, 10 Dec 2017, 15:30",3:0,Marathonbet,1.05,1.11,13.0,9.2,41.0,23.0
Serbia,Super Liga 2017/2018,FK Crvena zvezda - Borac 1926,"Sunday, 10 Dec 2017, 15:30",3:0,Pinnacle,1.04,1.13,16.65,9.1,46.25,23.58
Portugal,Primeira Liga 2019/2020,Rio Ave - Famalicao,"Friday, 31 Jan 2020, 21:15",2:2,Asianodds,2.01,1.99,3.55,3.56,3.85,4.2
Portugal,Primeira Liga 2019/2020,Rio Ave - Famalicao,"Friday, 31 Jan 2020, 21:15",2:2,Marathonbet,2.01,1.97,3.66,3.5,3.58,3.9
Portugal,Primeira Liga 2019/2020,Rio Ave - Famalicao,"Friday, 31 Jan 2020, 21:15",2:2,Pinnacle,2.01,1.99,3.55,3.56,3.85,3.93
Turkey,Super Lig 2011/2012,Genclerbirligi - Samsunspor,"Wednesday, 04 Jan 2012, 17:00",1:1,Pinnacle,1.72,1.71,3.63,3.76,5.78,5.74
Italy,Serie B,Frosinone - Juve Stabia,"Monday, 13 Jul 2020, 19:00",2:2,Asianodds,1.74,1.54,3.58,4.06,5.41,6.78
Italy,Serie B,Frosinone - Juve Stabia,"Monday, 13 Jul 2020, 19:00",2:2,Marathonbet,1.71,1.55,3.72,3.98,5.1,6.5
Italy,Serie B,Frosinone - Juve Stabia,"Monday, 13 Jul 2020, 19:00",2:2,Pinnacle,1.69,1.54,3.65,4.06,5.64,6.78
Belgium,Proximus League 2015/2016,Virton - Patro Eisden,"Saturday, 12 Dec 2015, 17:00",2:2,Marathonbet,1.85,1.69,3.4,4.05,5.1,5.2
Belgium,Proximus League 2015/2016,Virton - Patro Eisden,"Saturday, 12 Dec 2015, 17:00",2:2,Pinnacle,1.68,1.76,4.05,3.98,5.34,4.73
France,Ligue 2 2015/2016,Metz - Valenciennes,"Monday, 17 Aug 2015, 18:30",2:0,Marathonbet,2.26,1.7,3.1,3.44,3.84,6.8
France,Ligue 2 2015/2016,Metz - Valenciennes,"Monday, 17 Aug 2015, 18:30",2:0,Pinnacle,1.99,1.72,3.12,3.53,4.82,6.23
England,Championship 2014/2015,Bournemouth - Millwall,"Saturday, 29 Nov 2014, 15:00",2:2,Marathonbet,1.63,1.67,4.0,4.05,6.5,5.8
England,Championship 2014/2015,Bournemouth - Millwall,"Saturday, 29 Nov 2014, 15:00",2:2,Pinnacle,1.58,1.65,4.16,4.2,6.57,5.75
Turkey,Super Lig 2016/2017,Osmanlispor - Kayserispor,"Sunday, 06 Nov 2016, 13:00",1:1,Marathonbet,1.81,1.76,3.6,3.7,5.0,5.2
Turkey,Super Lig 2016/2017,Osmanlispor - Kayserispor,"Sunday, 06 Nov 2016, 13:00",1:1,Pinnacle,1.79,1.79,3.74,3.77,5.0,4.96
China,Super League 2019,Guangzhou Evergrande - Shandong Luneng,"Friday, 19 Apr 2019, 11:35",2:1,Asianodds,1.64,2.09,3.9,3.65,4.25,3.6
China,Super League 2019,Guangzhou Evergrande - Shandong Luneng,"Friday, 19 Apr 2019, 11:35",2:1,Marathonbet,1.76,1.97,3.94,3.74,4.3,3.58
China,Super League 2019,Guangzhou Evergrande - Shandong Luneng,"Friday, 19 Apr 2019, 11:35",2:1,Pinnacle,1.74,2.05,3.86,3.64,4.22,3.53
South Korea,K-League Classic 2015,Seoul - Jeonbuk,"Sunday, 25 Oct 2015, 07:00",0:0,Marathonbet,2.65,2.8,3.05,3.22,3.13,2.8
South Korea,K-League Classic 2015,Seoul - Jeonbuk,"Sunday, 25 Oct 2015, 07:00",0:0,Pinnacle,2.36,2.81,3.35,3.25,3.31,2.72
France,Ligue 1 2019/2020,Lille - Paris SG,"Sunday, 26 Jan 2020, 20:00",0:2,Asianodds,6.45,6.4,4.88,4.78,1.48,1.52
France,Ligue 1 2019/2020,Lille - Paris SG,"Sunday, 26 Jan 2020, 20:00",0:2,Marathonbet,6.45,6.05,4.9,4.65,1.47,1.52
France,Ligue 1 2019/2020,Lille - Paris SG,"Sunday, 26 Jan 2020, 20:00",0:2,Pinnacle,6.36,6.03,4.84,4.79,1.49,1.52
Ireland,Premier Division 2017,Limerick - Drogheda,"Saturday, 14 Oct 2017, 17:30",1:0,Asianodds,1.24,1.35,6.0,5.75,9.3,9.0
