country,championate,title,date,result,book,home_open_odds,home_close_odds,draw_open_odds,draw_close_odds,away_open_odds,away_close_odds
Brazil,Série B 2012,CRB - Guaratingueta,"Tuesday, 29 May 2012, 23:30",3:1,Pinnacle,2.62,2.21,3.39,3.44,2.83,3.5
Greece,Super League 2014/2015,PAOK - Olympiacos Piraeus,"Sunday, 08 Feb 2015, 17:30",0:0,Marathonbet,2.98,2.56,3.45,3.7,2.4,2.63
Greece,Super League 2014/2015,PAOK - Olympiacos Piraeus,"Sunday, 08 Feb 2015, 17:30",0:0,Pinnacle,3.35,2.95,3.47,3.41,2.26,2.55
Germany,3. Liga 2017/2018,Erfurt - Magdeburg,"Monday, 22 Jan 2018, 19:30",3:1,Asianodds,4.35,6.31,3.35,3.78,1.81,1.64
Germany,3. Liga 2017/2018,Erfurt - Magdeburg,"Monday, 22 Jan 2018, 19:30",3:1,Marathonbet,5.1,6.2,3.54,3.85,1.81,1.64
Germany,3. Liga 2017/2018,Erfurt - Magdeburg,"Monday, 22 Jan 2018, 19:30",3:1,Pinnacle,5.24,6.22,3.52,3.77,1.8,1.64
Russia,FNL 2016/2017,Tosno - Kuban,"Sunday, 13 Nov 2016, 12:00",0:0,Marathonbet,2.06,1.92,3.25,3.35,3.85,4.3
Russia,FNL 2016/2017,Tosno - Kuban,"Sunday, 13 Nov 2016, 12:00",0:0,Pinnacle,2.0,2.1,3.28,3.22,4.34,3.95
Japan,J-League 2013,Vegalta Sendai - Hiroshima,"Wednesday, 17 Jul 2013, 11:00",0:2,Marathonbet,2.29,2.98,3.3,3.2,3.45,2.65
Japan,J-League 2013,Vegalta Sendai - Hiroshima,"Wednesday, 17 Jul 2013, 11:00",0:2,Pinnacle,2.97,2.81,3.42,3.33,2.49,2.71
Sweden,Allsvenskan 2015,Atvidabergs - Goteborg,"Sunday, 23 Aug 2015, 13:00",0:1,Marathonbet,5.2,6.8,4.1,4.3,1.7,1.55
Sweden,Allsvenskan 2015,Atvidabergs - Goteborg,"Sunday, 23 Aug 2015, 13:00",0:1,Pinnacle,6.26,7.01,4.09,4.41,1.6,1.53
